# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
      0    2.38e+02  2.39e+02    1.29e+00  1.23e+00    7.52e+00  7.56e+00    5.0e-03
    100    3.02e+01  2.89e+01    2.50e-01  2.52e-01    9.55e-01  9.13e-01    5.0e-03
    200    1.54e+01  1.51e+01    1.69e-01  1.84e-01    4.88e-01  4.79e-01    5.0e-03
    300    1.06e+01  9.98e+00    7.89e-02  8.85e-02    3.35e-01  3.16e-01    5.0e-03
    400    9.51e+00  9.38e+00    3.54e-02  3.91e-02    3.01e-01  2.97e-01    5.0e-03
    500    7.46e+00  7.09e+00    3.07e-02  2.75e-02    2.36e-01  2.24e-01    5.0e-03
    600    5.78e+00  5.54e+00    2.18e-02  2.48e-02    1.83e-01  1.75e-01    5.0e-03
    700    5.32e+00  5.55e+00    2.29e-02  2.44e-02    1.68e-01  1.75e-01    5.0e-03
    800    5.18e+00  5.29e+00    1.71e-02  1.34e-02    1.64e-01  1.67e-01    5.0e-03
    900    5.06e+00  4.48e+00    1.95e-02  1.30e-02    1.60e-01  1.42e-01    5.0e-03
   1000    4.48e+00  4.65e+00    1.45e-02  1.82e-02    1.42e-01  1.47e-01    5.0e-03
   1100    4.48e+00  5.19e+00    1.48e-02  1.85e-02    1.42e-01  1.64e-01    5.0e-03
   1200    4.09e+00  4.28e+00    1.78e-02  1.67e-02    1.29e-01  1.35e-01    5.0e-03
   1300    4.97e+00  4.59e+00    2.02e-02  2.06e-02    1.57e-01  1.45e-01    5.0e-03
   1400    5.62e+00  5.38e+00    1.63e-02  1.64e-02    1.78e-01  1.70e-01    5.0e-03
   1500    4.21e+00  4.46e+00    3.30e-02  3.27e-02    1.33e-01  1.41e-01    5.0e-03
   1600    3.71e+00  3.42e+00    1.83e-02  2.13e-02    1.17e-01  1.08e-01    5.0e-03
   1700    3.28e+00  3.14e+00    1.54e-02  2.00e-02    1.04e-01  9.92e-02    5.0e-03
   1800    3.30e+00  3.47e+00    1.56e-02  1.99e-02    1.04e-01  1.10e-01    5.0e-03
   1900    2.81e+00  2.80e+00    1.18e-02  1.69e-02    8.88e-02  8.86e-02    5.0e-03
   2000    2.74e+00  3.23e+00    1.18e-02  1.56e-02    8.67e-02  1.02e-01    5.0e-03
   2100    2.69e+00  2.47e+00    1.41e-02  9.55e-03    8.52e-02  7.82e-02    5.0e-03
   2200    3.74e+00  3.95e+00    1.62e-02  1.62e-02    1.18e-01  1.25e-01    5.0e-03
   2300    2.83e+00  2.91e+00    1.36e-02  1.11e-02    8.96e-02  9.19e-02    5.0e-03
   2400    3.07e+00  3.01e+00    1.04e-02  2.31e-02    9.70e-02  9.51e-02    5.0e-03
   2500    2.95e+00  3.17e+00    1.33e-02  1.68e-02    9.33e-02  1.00e-01    5.0e-03
   2600    3.11e+00  2.53e+00    1.31e-02  1.54e-02    9.83e-02  8.02e-02    5.0e-03
   2700    2.88e+00  3.07e+00    2.31e-02  1.64e-02    9.10e-02  9.72e-02    5.0e-03
   2800    3.57e+00  3.67e+00    1.62e-02  2.12e-02    1.13e-01  1.16e-01    5.0e-03
   2900    2.94e+00  3.00e+00    1.11e-02  1.63e-02    9.30e-02  9.49e-02    5.0e-03
   3000    3.28e+00  2.81e+00    1.09e-02  2.01e-02    1.04e-01  8.88e-02    5.0e-03
   3100    4.64e+00  4.57e+00    9.00e-03  1.81e-02    1.47e-01  1.44e-01    5.0e-03
   3200    2.42e+00  2.39e+00    1.73e-02  2.05e-02    7.67e-02  7.57e-02    5.0e-03
   3300    2.85e+00  2.44e+00    9.20e-03  1.24e-02    9.02e-02  7.73e-02    5.0e-03
   3400    2.19e+00  2.52e+00    1.19e-02  1.12e-02    6.92e-02  7.96e-02    5.0e-03
   3500    2.34e+00  2.53e+00    1.54e-02  1.52e-02    7.41e-02  7.99e-02    5.0e-03
   3600    2.34e+00  2.31e+00    1.15e-02  1.51e-02    7.39e-02  7.31e-02    5.0e-03
   3700    2.42e+00  2.49e+00    9.08e-03  1.32e-02    7.65e-02  7.88e-02    5.0e-03
   3800    2.18e+00  2.09e+00    1.09e-02  1.37e-02    6.89e-02  6.62e-02    5.0e-03
